"ServerName","win_rate","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","cluster","avg_welo","avg_welo_scaled","avg_welo_rescaled","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"elina avanesyan",0.487179487179487,-2.27464501941841,-0.536795237960723,-0.0449556546441503,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"3",1511.80201742999,-0.496123539186761,-0.768516731543577,-0.410797346807287,-0.510553544701621,-0.558504506337696,0.499519806412058,0.501932582327586,0.462574154138565,-0.600550186337824
"elina svitolina",0.587223587223587,0.274855162315408,0.907087914137868,0.528603665669833,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"1",1539.65270886563,0.757410937553347,-0.222256812801695,0.464449210057263,0.444559834433234,0.441760062501636,0.538124725799808,0.533757215088107,0.541393220424652,0.183692074789737
"elisabetta cocciaretto",0.418918918918919,-0.339091695126134,-1.26050135017697,0.609844252880991,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,"3",1500,-1.02732168835158,-1,-0.480953361733685,-0.547048311983319,-0.528253575512327,0.567362909053993,0.537811868678792,0.546269655227661,0.0872197049968043
"elise mertens",0.541935483870968,0.652291665301757,0.498722832757326,1.11856342490927,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"1",1538.63532268376,0.711619304046387,-0.242211695944296,0.185193930185939,0.304699710569691,0.245856326037378,0.54154916435918,0.546734775468092,0.555264234542847,0.365534792081768
"emma navarro",0.568345323741007,-0.0639674532862134,0.268143070274919,0.0246702427893257,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,"3",1585.42679053056,2.8176610265213,0.675550201740373,0.337653879336123,0.24723783584262,0.0828448892037894,0.537695745748736,0.526151713637798,0.49369814991951,0.0876223216281846
"emma raducanu",0.583524027459954,0.505660022590901,-1.47158310516907,0.814852916453237,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,"4",1572.78879868358,2.24883642360042,0.427670237419004,0.536756962852103,0.590227515250699,0.471990500499839,0.555403009454895,0.549524342593653,0.551443994045258,0.101240542655963
"erika andreeva",0.485981308411215,-0.186369005763821,1.51259492749204,-0.00893922172280026,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"1",1518.03599842357,-0.215537682966391,-0.646244221402766,-0.226557457223782,-0.106465978719591,-0.203939001224247,0.533855567988713,0.54045295060467,0.532330214977264,-0.0146476648981557
"eva lys",0.503759398496241,-1.85600373471513,-1.94710243468474,-0.632039729327475,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"3",1500,-1.02732168835158,-1,-0.259283072644552,-0.370406371606284,-0.126306541424628,0.507072650471133,0.505508491202095,0.527025759220123,-0.560452165697551
"fiona ferro",0.557377049180328,-1.69242858414939,0.0947946316948246,0.495941580358316,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"3",1521.54526508517,-0.0575887588416461,-0.577413911539945,0.0455949818027806,-0.0867510311873943,-0.098919402312848,0.49841868249235,0.501197899266566,0.471149891614914,-0.368098940469994
"garbine muguruza",0.551451187335092,0.965870427645445,-1.15376616835472,-0.225641669011885,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,"4",1544.34576290325,0.968641062699425,-0.130207847943382,0.41482268855922,0.439087641348493,0.327043102462816,0.571380043087413,0.553838194749565,0.560069739818573,0.0938888503765957
"greet minnen",0.523456790123457,0.280217345779037,0.444386608922345,0.374085502831078,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"1",1521.25814130689,-0.0705119408744516,-0.583045520800095,0.0323451270948036,0.1579414432718,0.127718857513132,0.535993748220529,0.543633019183455,0.553555130958557,0.16507124009024
"harmony tan",0.46875,0.168254342132326,-0.258961661818363,2.41890047901482,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"1",1500,-1.02732168835158,-1,-0.11570140068958,-0.182497102253026,-0.248909606121792,0.573957029030934,0.543254568130686,0.543310880661011,0.40007797394881
"harriet dart",0.490774907749078,-1.69591895716804,1.70900930312058,0.875867930330032,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,"3",1506.52471445511,-0.733650181514274,-0.872025080730977,-0.205776222882106,-0.323111431451809,-0.154385057444736,0.531924590260874,0.51741108514416,0.536420524120331,-0.255788296317426
"iga swiatek",0.57421875,0.477880694779222,0.861423924896323,0.266488853733273,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"1",1574.61945308953,2.33123252562029,0.463576460047256,0.395947021403141,0.378985133484935,0.389094797112323,0.541196831733717,0.535104686169376,0.546068847179413,0.206079819014427
"jasmine paolini",0.501222493887531,-0.644185805973823,-0.224437393356871,-0.294566937852131,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,"3",1519.06790777854,-0.169092374550615,-0.626004482590697,-0.13440354446683,-0.264261317201575,-0.113080159641236,0.532376757561695,0.516906205615602,0.53247058391571,-0.115419865538913
"jelena ostapenko",0.557142857142857,-0.736102816280541,1.69322373863994,-0.426426479436625,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,"4",1562.87164188644,1.80247414978828,0.233156385629177,0.188806620119105,0.149984927383378,0.0941009222449544,0.524287288669339,0.52349589636998,0.508647203445435,-0.405944387522668
"jessica bouzas maneiro",0.5625,-0.321004979803658,-0.824326044091567,-0.285022457177725,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"3",1542.76959775312,0.897699292320527,-0.161122550683239,0.133403613756798,0.00307501061683367,-0.0373376778604013,0.508078099191368,0.506658241385542,0.477184474468231,-0.0880569750422896
"jessica pegula",0.567596566523605,0.294445475147621,0.287271617521565,0.214498143230605,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,"4",1571.16570201998,2.17578230817193,0.395835025944402,0.407338598507922,0.516253961804893,0.323688343305417,0.551030550496333,0.551767996740202,0.541006624698639,-0.0356919460537934
"jodie burrage",0.526881720430108,0.698419321072981,0.88704536925494,1.04008276545619,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,"1",1519.27734244463,-0.159665909316189,-0.621896657693554,-0.115193119317321,0.00793850221109811,0.0333327238374955,0.505594686513395,0.527618122763752,0.531443119049072,0.431985534200643
"jule niemeier",0.578817733990148,0.769669041517875,0.875472763626614,1.03687953416738,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"1",1547.24361275908,1.09907066840931,-0.0733697895264307,0.512415202412506,0.478412618383837,0.398314301378808,0.556594891194956,0.541765548429494,0.542601346969604,0.387570972979911
"kaia kanepi",0.55511811023622,-0.056205513806508,-0.464906817616086,0.823947499758565,-0.284470366018268,-0.442011204872034,-0.832403644091255,1.44635946363524,-0.167260502306652,"4",1513.26227319909,-0.430398745399706,-0.739875460657426,0.261108085420596,0.349248360073987,0.247408996792761,0.539592267982243,0.543316500362561,0.540527105331421,-0.0539554986890761
"kaja juvan",0.506578947368421,-0.652756500127506,1.91820893835469,0.903516147693174,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"1",1513.89102617333,-0.402099141693859,-0.727543179808649,-0.270620480815813,-0.189696359832605,-0.138550270606377,0.50172641542611,0.520803386006814,0.521448075771332,-0.0256817476406664
"kamilla rakhimova",0.547008547008547,-0.358350001965598,-0.467671950343976,0.352812422761043,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,"3",1518.17290009882,-0.209375862163895,-0.643559049360569,0.0456224482016062,0.103404318285019,0.216955412475027,0.510633050654068,0.524969099555925,0.543903231620789,0.0484024787425101
"karolina muchova",0.573972602739726,0.585126133221183,0.121174364535759,1.36897637183757,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"1",1569.72591041962,2.11097858814447,0.367595136660754,0.390864518221439,0.50152313049788,0.335600960827668,0.540578407435623,0.546718372649021,0.536031603813171,0.379436749396743
"katerina siniakova",0.523076923076923,-0.23283712562908,-1.11870935338207,-0.687266048226818,-0.284470366018268,2.24689029143284,-0.832403644091255,-0.686655502937942,-0.167260502306652,"3",1506.38196867296,-0.740075040292206,-0.874824878342517,0.0500097058350465,-0.0126335153061678,0.0836690236557602,0.53959783458381,0.527882501809308,0.545491993427277,-0.0520489258517944
"katie boulter",0.538775510204082,0.943756841355068,-1.20695935868648,-0.0629507047455306,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"1",1511.39920402721,-0.514253806768881,-0.776417462381019,0.202334247181304,0.211096945976045,0.168145709291283,0.548333284403812,0.539790819858004,0.543879628181458,0.292861324501151
"katie volynets",0.467741935483871,-1.34437686308121,1.19411209379881,-1.34987950189277,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"3",1500,-1.02732168835158,-1,-0.517153266920165,-0.562309413242119,-0.438437140586313,0.503402070781066,0.508276924593896,0.507904231548309,-0.511494306813225
"kristina mladenovic",0.544117647058823,-1.23609718277473,-1.55133145829764,-0.437955094602052,-0.284470366018268,-0.442011204872034,1.19311188986413,-0.686655502937942,-0.167260502306652,"3",1500,-1.02732168835158,-1,0.00325235255463427,-0.0799441861479363,0.0767781178542295,0.506465432077752,0.509468264585141,0.520162999629974,-0.362654657698115
"laura siegemund",0.509615384615385,0.218564498518199,-2.00460368957919,-1.64872470814295,3.4912272193151,-0.442011204872034,-0.832403644091255,-0.686655502937942,-0.167260502306652,"2",1500,-1.02732168835158,-1,-0.379847126263056,-0.372621279914267,-0.127210897712636,0.478631352154385,0.501929985578874,0.520171761512756,0.0848929723388672
