"ServerName","avg_speed","sd_speed","location_entropy","win_rate","n_serves","overperf_lm","overperf_glm","overperf_rf","pred_lm","pred_glm","pred_rf","rf_weighted_baseline"
"jelena ostapenko",83.4556213017752,9.45034553404672,2.71779818367864,0.550295857988166,169,0.0375062612872742,0.00671787390604661,0.0326638237183918,0.512789596700892,0.543577984082119,0.517632034269774,-12.2487053805335
"jessica pegula",84.3243243243243,5.17232420874108,2.64974095609788,0.621621621621622,185,0.157976633348471,0.321204531381842,0.0831436892704639,0.463644988273151,0.300417090239779,0.538477932351158,2.61488992058064
"jodie burrage",83.7142857142857,5.47852952116585,2.12994718447748,0.571428571428571,21,0.132823808621087,0.289043981308807,0.073704698674629,0.438604762807485,0.282384590119764,0.497723872753942,-0.352667214305088
"jule niemeier",85.0492957746479,6.45478267323583,2.63171197547435,0.507042253521127,142,0.0294462012681755,0.120067707067012,0.0155818861166433,0.477596052252951,0.386974546454114,0.491460367404483,-0.802583843639595
"kaia kanepi",84.5666666666667,3.51041144394031,2.12688758173326,0.4,30,-0.0180741037937635,0.195054968924921,-0.00957021225121857,0.418074103793763,0.204945031075079,0.409570212251219,7.07394078105132
"kaja juvan",79.468085106383,6.16563861409025,2.92822896674975,0.425531914893617,94,-0.057524105311221,0.149968950154892,-0.0241796477439516,0.483056020204838,0.275562964738725,0.449711562637569,-5.54366542377493
"karolina muchova",84.4471544715447,5.62663929050469,2.85225153988417,0.40650406504065,123,-0.0730035963965154,0.0694169438034357,-0.0385142658650471,0.479507661437166,0.337087121237215,0.445018330905698,1.75779690873698
"katerina siniakova",88.4666666666667,4.53137212479105,2.78743029809272,0.4,30,-0.0692608464126727,0.0478962617898325,-0.0486029530237338,0.469260846412673,0.352103738210167,0.448602953023734,9.80883453051239
"katie boulter",89.5979381443299,5.93515877768753,2.62141375405895,0.45360824742268,194,-0.0235880146848472,0.000762032289677583,0.00498313610789436,0.477196262107528,0.452846215133003,0.448625111314786,6.10055268009888
"laura siegemund",82.1481481481482,7.81371429309589,2.3219028921001,0.518518518518518,27,0.0462635053361336,0.126787338823678,0.0157898122859911,0.472255013182385,0.391731179694841,0.502728706232527,-9.3440521418283
