"ServerName","avg_speed","sd_speed","location_entropy","win_rate","serve_efficiency","n_serves","overperf_lm","overperf_glm","overperf_rf","overperf_xgb","pred_lm","pred_glm","pred_rf","pred_xgb","rf_weighted_baseline"
"fabian marozsan",104.756097560976,11.0738100170033,2.96490306832933,0.552106430155211,0.381374722838137,451,-0.0204232918423766,-0.461487852754248,-0.0272867646070946,-0.000616067528989017,0.401798014680514,0.461487852754248,0.408661487445232,0.381990790367126,0.300172489272827
"fabio fognini",102.796915167095,12.0630812234524,2.9802467750018,0.521850899742931,0.44987146529563,389,0.052551302344353,0.56718016646876,0.0221546221434246,0.000457718700247134,0.397320162951277,0.43281983353124,0.427716843152205,0.449413746595383,-0.326815933723732
"facundo bagnis",106.415807560137,11.1755100609082,2.93401387511916,0.54639175257732,0.487972508591065,291,0.0772944165364243,0.499515748152802,0.0370733732918982,0.000401418131241671,0.410678092054641,0.500484251847198,0.450899135299167,0.487571090459824,0.711645175446019
"facundo diaz acosta",101.54347826087,11.9445920116319,2.81557423074607,0.572463768115942,0.384057971014493,138,-0.00254157103239611,-0.38479561826531,-0.00371116518093106,0.000100018753521669,0.386599542046889,0.38479561826531,0.387769136195424,0.383957952260971,-0.599994561346686
"federico coria",104.409893992933,13.2780483667005,2.8934388432521,0.50530035335689,0.374558303886926,283,-0.0367200821050356,-0.483933206715051,-0.0216968904313411,-0.0027293223795537,0.411278385991961,0.483933206715051,0.396255194318267,0.377287626266479,-0.0629934818392659
"federico delbonis",105.390625,10.2517783010234,2.74762134444121,0.46875,0.375,64,-0.0210808126933104,-0.440348751640674,-0.0173471513234701,0.000201225280761719,0.39608081269331,0.440348751640674,0.39234715132347,0.374798774719238,0.605034042802336
"feliciano lopez",115.642857142857,12.9308711451096,2.8084916908791,0.595238095238095,0.595238095238095,126,0.127368940658464,0.274312945981281,0.0693350388541224,0.00232267947424025,0.467869154579632,0.725687054018719,0.525903056383973,0.592915415763855,2.83589246462325
"filip krajinovic",105.211538461538,12.6736617427454,2.78670969325103,0.480769230769231,0.408653846153846,208,-0.00128428518330131,0.518085632619224,0.00708973038746186,0.000563969978919387,0.409938131337147,0.481914367380776,0.401564115766384,0.408089876174927,0.236788020877965
"flavio cobolli",99.7386018237082,15.0701125391147,2.92654078477734,0.553191489361702,0.346504559270517,329,-0.0507436688085294,-0.405698896386897,-0.0234115500608727,9.7950450555162e-05,0.397248228079046,0.405698896386897,0.369916109331389,0.346406608819962,-1.48332384940064
"frances tiafoe",104.90057864282,17.0859161663618,2.90937217065174,0.581799053129932,0.385586533403472,1901,-0.0507118942919124,-0.563499503592537,-0.0155740114629535,-0.000332739496155809,0.436298427695384,0.563499503592537,0.401160544866425,0.385919272899628,-0.439016943523872
