"ServerName","serve_efficiency","avg_speed","sd_speed","location_entropy","modal_locationWB_DNCTL","modal_locationWBC_DNCTL","modal_locationWBW_DNCTL","modal_locationWC_DNCTL","modal_locationWW_DCTL","cluster","avg_welo","avg_welo_scaled","avg_welo_rescaled","performance_lm","performance_rf","performance_xgb","pred_lm","pred_rf","pred_xgb","weighted_avg"
"benjamin bonzi",0.425986842105263,0.619595705978781,-0.590102749995624,0.631993853974266,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1525.73680465659,0.379864679274391,-0.414959183390843,0.066090018167479,-0.0857852726819375,-0.0120636537507436,0.423636033911912,0.397783195612125,0.400833964347839,0.122033278991976
"benoit paire",0.533742331288344,-0.688105199562227,1.21126212691626,1.20492077059763,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1500,-0.855637019926784,-1,0.535777537023491,0.397905188510119,0.783350766732713,0.425100841045171,0.406385327412591,0.466944009065628,-0.102456294980724
"bernabe zapata miralles",0.487179487179487,-1.04050744961847,0.56560186922349,-0.074299611554919,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1506.2019510042,-0.557910821733471,-0.859019232244217,0.240725106546956,0.0214672325921482,0.169752591729784,0.370984402349359,0.381675664806625,0.378602653741837,-0.311174286265343
"borna coric",0.354838709677419,-0.0374871559297723,0.149649887706246,-2.34186154853652,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1500,-0.855637019926784,-1,-0.295783163224436,-0.346000461011837,-0.351749213673862,0.392614345827306,0.399520196580443,0.398268759250641,-0.165115739955302
"borna gojo",0.433734939759036,1.21087187099741,1.17502460659476,0.296495297107088,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",1541.60984277527,1.1418538161848,-0.0541383547399358,0.135428865432732,0.334806314025156,0.155789300902387,0.444396615044575,0.446775913070419,0.430096179246902,0.394198140445148
"botic van de zandschulp",0.393313667649951,0.500070790476539,0.121860622090986,-0.0333247281242022,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1545.00344500702,1.30476453411117,0.0230039264173065,-0.0813172988657726,-0.137597435587088,0.00753340963806591,0.42029356272507,0.407067505474193,0.438545346260071,0.102634597187809
"brandon nakashima",0.379603399433428,0.802274716681211,-0.0838387883383725,0.58096774502514,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",1534.42019165649,0.79671282869864,-0.21757120577911,-0.132342892554859,0.0590240206970881,-0.163976149415149,0.425180133194785,0.438342304138473,0.414562791585922,0.206109505395303
"cameron norrie",0.449248120300752,-0.581060129579487,0.199459528136785,-0.171424490623564,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1540.0090192513,1.06500588535682,-0.0905277633788681,0.109117754239483,0.012353762224413,0.172895928789133,0.390056991620157,0.398853284113768,0.41804039478302,-0.209048371781006
"carlos alcaraz",0.370478413068845,0.302498804950114,-0.444288906614553,0.699594310389002,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1574.85787659827,2.73793393691131,0.701645322293629,-0.165817501383178,-0.303759775307934,-0.214547294908983,0.428714627549294,0.397262704059701,0.412682265043259,0.0443475340551253
"carlos taberner",0.584,0.543399853055693,-0.153445071289045,-0.00480331549678943,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",1500,-0.855637019926784,-1,0.748655987701675,0.79906093843065,0.761951744399453,0.422191471176514,0.432409629431438,0.41087344288826,0.097864501302663
"casper ruud",0.372837370242215,0.21130161236473,-0.30982380807645,0.170320505280736,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1566.42679180189,2.3331976174255,0.509992597723149,-0.18103535001609,-0.251916088348712,-0.26083499344587,0.413937372475621,0.402623667119441,0.400021195411682,0.000815212771399139
"christopher eubanks",0.428015564202335,0.526581977305611,-1.02648075218509,-1.99449310646619,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"4",1500,-0.855637019926784,-1,0.0723454249374846,0.387477706795617,0.260790017171292,0.42216094318296,0.456142371866389,0.459193110466003,-0.0655416011606231
"constant lestienne",0.317204301075269,-1.40671955677915,-0.844158299674601,0.612608736512319,-0.109766251701977,-0.251620477537952,-0.46654780684179,-1.5698157080643,5.16455755032498,"2",1500,-0.855637019926784,-1,-0.394719107370118,-0.472419507945441,-0.428499881611213,0.429913322000532,0.401846292321196,0.419708400964737,-0.57053334179415
"corentin moutet",0.381031613976705,-1.47229024756612,-0.0932861011818246,0.262523293578485,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1511.87379514802,-0.285632535023196,-0.730088684188383,-0.223148779274148,-0.323919540379753,-0.579972257483054,0.368848209730921,0.38963797648439,0.32096990942955,-0.46271022767818
"cristian garin",0.477922077922078,-0.445175272162529,0.866849973595206,1.4042413626078,-0.109766251701977,-0.251620477537952,2.13056831791084,-1.5698157080643,-0.192467983241925,"2",1516.89363335131,-0.0446539554120704,-0.615979326757178,0.280488709149275,0.155910311140238,0.401899786578774,0.417385746654651,0.403003701507208,0.439473390579224,0.0702524324778556
"daniel altmaier",0.301282051282051,-0.161724508777513,-0.333070122575067,-0.555528309862709,-0.109766251701977,-0.251620477537952,-0.46654780684179,0.6332029746814,-0.192467983241925,"3",1510.74525925592,-0.339808180791967,-0.755742201347755,-0.520358984058543,-0.550562232246378,-0.625165605879439,0.397036659863719,0.399738753859533,0.392413526773453,-0.144034988006902
